#{"t_start": 1765103878.5586216, "env_id": "None"}
r,l,t
-58.64916,200,147.9559
-60.928802,200,147.959822
-56.963882,200,148.316497
-58.732998,200,149.173872
-59.71929,200,149.182105
-58.688698,200,149.198277
-62.664726,200,149.220456
-60.942364,200,149.229829
-59.35792,200,149.233604
-60.866833,200,149.2376
-57.268658,200,149.29005
-59.326523,200,150.156096
-59.971035,200,150.163165
-60.59503,200,150.178337
-58.35306,200,150.199187
-61.119347,200,150.517454
-57.018616,200,150.521538
-59.421062,200,150.525547
-57.021004,200,150.578491
-60.54457,200,151.407044
-59.330086,200,151.413508
-61.091217,200,151.425811
-59.651005,200,151.444453
-57.741444,200,151.4546
-60.66919,200,151.458171
-58.641975,200,151.461682
-59.2079,200,151.511791
-6.0956535,8,151.539504
-62.22017,200,152.670796
-60.6374,200,152.678498
-59.397854,200,152.692615
-61.920467,200,152.715815
-60.35429,200,152.726352
-63.04318,200,152.72985
-58.252254,200,152.733488
-60.5921,200,152.816178
-57.296318,200,153.642274
-62.768578,200,153.649773
-59.28889,200,153.664272
-62.22917,200,153.683299
-59.491943,200,153.69309
-63.364964,200,153.69664
-57.2019,200,153.700205
-58.8428,200,153.790662
-4.2637453,7,153.812339
-60.242252,200,154.901478
-58.782753,200,154.90792
-58.571785,200,154.920311
-60.535534,200,154.942767
-58.99235,200,154.952502
-59.991783,200,154.956297
-62.885212,200,154.959732
-5.4740577,8,154.969407
-60.678257,200,155.058029
-57.279316,200,155.846425
-59.04211,200,155.852899
-60.930096,200,155.865744
-61.700127,200,155.894733
-60.97033,200,155.898757
-60.60989,200,155.903029
-61.89063,200,155.913937
-61.683125,200,156.32167
-58.031483,200,157.096617
-60.03702,200,157.103071
-58.34698,200,157.116836
-60.94653,200,157.148008
-63.27722,200,157.152633
-60.427177,200,157.156291
-60.088478,200,157.167127
-57.441757,200,157.266692
-60.096123,200,158.049043
-62.937656,200,158.056411
-58.12603,200,158.070399
-60.095432,200,158.100034
-58.74811,200,158.103595
-57.624607,200,158.107118
-60.955086,200,158.116697
-61.175648,200,158.515152
-64.35342,200,159.314793
-58.790737,200,159.322868
-62.778885,200,159.337624
-60.37213,200,159.363927
-59.37293,200,159.367729
-58.985874,200,159.371781
-61.220177,200,159.383438
-6.1599436,8,159.396626
-5.9330087,8,159.408776
-8.334408,9,159.442067
-57.55853,200,159.475369
-61.847485,200,160.295534
-58.24818,200,160.302287
-57.812958,200,160.316312
-59.773205,200,160.658329
-60.00744,200,160.665079
-59.577774,200,160.687475
-57.462734,200,160.727373
-62.008617,200,160.764028
-61.38892,200,161.742132
-58.36074,200,161.749529
-58.57143,200,161.762227
-57.75021,200,161.790812
-60.390503,200,161.797328
-59.50993,200,161.831215
-57.013382,200,161.879859
-60.281773,200,161.919213
-63.193718,200,163.002601
-58.994587,200,163.01032
-57.413094,200,163.024554
-58.63022,200,163.052964
-60.72318,200,163.060101
-2.654583,6,163.073604
-63.181446,200,163.083285
-63.075665,200,163.129152
-59.21491,200,163.169731
-60.248806,200,163.974828
-62.223537,200,163.981877
-58.96566,200,163.996433
-60.64997,200,164.034308
-59.338577,200,164.048301
-59.660892,200,164.058952
-59.079437,200,164.10409
-59.929863,200,164.479438
-3.9403377,7,164.504706
-63.111973,200,165.303693
-60.2719,200,165.310331
-59.459854,200,165.329394
-59.21708,200,165.375718
-58.081783,200,165.391993
-61.5867,200,165.402346
-59.088,200,165.456295
-61.634563,200,165.528286
-57.87903,200,166.311461
-62.6609,200,166.318281
-58.29488,200,166.334212
-60.462948,200,166.373597
-57.668,200,166.387761
-64.18011,200,166.398172
-62.798355,200,166.757113
-61.080536,200,166.820723
-57.660072,200,167.584658
-59.771736,200,167.59217
-58.429794,200,167.60652
-60.995373,200,167.640309
-57.157146,200,167.652989
-61.52923,200,167.662747
-61.413074,200,167.706424
-62.098606,200,167.762581
-60.49103,200,168.588754
-58.25097,200,168.596317
-61.847313,200,168.610421
-59.64633,200,168.96985
-59.75903,200,168.984478
-57.943916,200,168.995816
-59.070602,200,169.040358
-2.3950624,6,169.061982
-58.607044,200,169.104142
-61.44011,200,169.905149
-57.42187,200,169.912474
-57.68606,200,169.925719
-60.23458,200,169.961117
-59.186787,200,169.975298
-59.082623,200,169.986099
